Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.777	0.000000	0.000
FBtr0300738	2350	2176.395	0.185171	3.099
FBtr0300739	2172	1998.395	0.182270	2.801
FBtr0300737	2184	2010.395	0.228867	3.538
FBtr0300736	2338	2164.395	0.151925	2.529
FBtr0078628	2467	2293.395	0.136214	2.402
FBtr0300740	2479	2305.395	0.163421	2.897
FBtr0078627	2301	2127.395	0.159388	2.607
FBtr0300741	2313	2139.395	0.195456	3.216
FBtr0072762	889	715.588	75.685073	416.475
FBtr0346821	1270	1096.395	5.143567	43.366
FBtr0331460	900	726.586	0.331118	1.850
FBtr0303848	5005	4831.395	9.515124	353.511
FBtr0086122	1465	1291.395	0.604194	6.000
FBtr0335147	3125	2951.395	2.517475	57.136
FBtr0081459	3019	2845.395	19.631142	429.540
FBtr0305321	6523	6349.395	1.436396	70.133
FBtr0083716	5665	5491.395	20.267859	855.867
FBtr0078184	1305	1131.395	0.459759	4.000
FBtr0081691	765	591.646	0.108280	0.493
FBtr0085263	1228	1054.395	0.123333	1.000
FBtr0086342	492	318.785	0.000000	0.000
FBtr0086343	495	321.783	0.000000	0.000
FBtr0091847	1023	849.395	1.020994	6.669
FBtr0072393	1393	1219.395	13.628746	127.796
FBtr0343502	867	693.593	0.883046	4.710
FBtr0343753	3569	3395.395	4.014409	104.816
FBtr0433525	3725	3551.395	0.253202	6.915
FBtr0113895	961	787.562	28.400050	171.996
FBtr0345179	887	713.588	58.681014	322.004
FBtr0334135	4703	4529.395	0.290511	10.119
FBtr0334137	4561	4387.395	0.442979	14.945
FBtr0334141	5321	5147.395	0.206139	8.160
FBtr0334139	4203	4029.395	0.459957	14.252
FBtr0334140	5704	5530.395	0.193851	8.244
FBtr0344148	4894	4720.395	0.264595	9.605
FBtr0334142	5071	4897.395	0.228164	8.593
FBtr0334138	5563	5389.395	0.183383	7.600
FBtr0334136	3862	3688.395	1.251632	35.500
FBtr0085105	995	821.519	11.080636	70.000
FBtr0346720	2745	2571.395	0.000000	0.000
FBtr0076089	442	268.817	0.000000	0.000
FBtr0087500	1417	1243.395	12.864123	123.000
FBtr0073094	1694	1520.395	6.572143	76.839
FBtr0073093	1577	1403.395	72.477080	782.161
FBtr0343515	1092	918.395	0.234630	1.657
FBtr0072451	975	801.548	9.141018	56.343
FBtr0071607	2252	2078.395	2.815585	45.000
FBtr0081516	4704	4530.395	0.114818	4.000
FBtr0300749	931	757.578	0.687092	4.003
FBtr0346532	1185	1011.395	0.580459	4.514
FBtr0073076	880	706.589	67.448279	366.483
FBtr0089289	4677	4503.395	3.355156	116.190
FBtr0100448	4590	4416.395	1.552575	52.727
FBtr0089290	4681	4507.395	1.331029	46.135
FBtr0089288	4037	3863.395	7.724358	229.481
FBtr0100447	4417	4243.395	1.387215	45.266
FBtr0329933	4663	4489.395	1.291617	44.590
FBtr0336949	2826	2652.395	21.553301	439.610
FBtr0088786	1378	1204.395	75.283995	697.248
FBtr0088785	1869	1695.395	19.147680	249.633
FBtr0303077	607	433.738	0.000000	0.000
FBtr0339716	615	441.730	0.079861	0.271
FBtr0085459	600	426.741	79.147922	259.729
FBtr0070973	1218	1044.395	0.622572	5.000
FBtr0089252	2767	2593.395	2.428929	48.439
FBtr0334488	2840	2666.395	1.600361	32.814
FBtr0334489	2902	2728.395	1.625770	34.110
FBtr0100600	3804	3630.395	3.354100	93.637
FBtr0300305	309	135.921	0.000000	0.000
FBtr0077162	567	393.751	0.000000	0.000
FBtr0072277	713	539.671	57.831732	240.000
FBtr0344898	1082	908.395	0.000000	0.000
FBtr0086817	1175	1001.395	0.000000	0.000
FBtr0333271	5146	4972.395	0.743345	28.423
FBtr0072639	5149	4975.395	0.931537	35.640
FBtr0340000	824	650.627	1.987593	9.944
FBtr0087390	427	253.833	99.929862	195.056
FBtr0070472	3021	2847.395	2.881248	63.088
FBtr0331752	4499	4325.395	16.739822	556.791
FBtr0070475	3174	3000.395	6.802195	156.943
FBtr0070474	3218	3044.395	1.635421	38.287
FBtr0302185	2166	1992.395	1.431656	21.935
FBtr0070471	4805	4631.395	10.440559	371.836
FBtr0112828	2903	2729.395	4.814294	101.045
FBtr0301966	3182	3008.395	1.375935	31.831
FBtr0070468	3055	2881.395	7.683469	170.246
